場地名稱,地址,無障礙設施內容,備註
鵬程超市,臺北市松山區健康路399號,無障礙坡道x1,無
民生超市,臺北市松山區敦化北路199巷5號,無障礙坡道x1、無障礙廁所x1,無
民有超市,臺北市松山區民權東路3段140巷15號,無障礙廁所x1、無障礙電梯x2,無
松興超市,臺北市信義區松隆路36號,無障礙坡道x1,無
黎忠超市,臺北市信義區和平東路3段391巷16號,無障礙坡道x1,無
黎元超市,臺北市大安區辛亥路3段223號,無障礙坡道x1、無障礙廁所x2,無
三興超市,臺北市信義區吳興街156巷6號,無障礙坡道x1,無
六合超市,臺北市信義區松仁路240巷19號,無障礙坡道x1,無
延吉超市,臺北市大安區市民大道4段190號,"無障礙坡道x1、無障礙廁所x1、
無障礙電梯x1",無
芳和超市,臺北市大安區樂業街87號,無障礙坡道x1,無
民榮超市,臺北市大安區仁愛路3段24巷12號,無障礙坡道x1,無
成功超市,臺北市大安區和平東路2段311巷29號,無障礙坡道x1,無
江寧超市,臺北市中山區合江街137號,無障礙坡道x1,無
朱崙超市,臺北市中山區龍江路15號,無障礙坡道x1、無障礙電梯x2,無
欣榮超市,臺北市中正區寧波東街20號地下室,無障礙坡道x1、無障礙電梯x1,無
同安超市,臺北市中正區同安街71號,無障礙坡道x1,無
華山超市,臺北市中正區忠孝東路1段86號,無障礙坡道x1,無
雙園超市,臺北市萬華區興寧街2號,無障礙坡道x1、無障礙廁所x1,無
萬興超市,臺北市文山區萬壽路27號,無障礙坡道x1,無
永安超市,臺北市文山區木新路2段156號,無障礙坡道x1,無
忠順超市,臺北市文山區忠順街2段22號,無障礙坡道x1,無
永建超市,臺北市文山區木柵路1段177號,無障礙坡道x1,無
萬和超市,臺北市文山區萬隆街47之12號,無障礙坡道x1,無
東新超市,臺北市內湖區東明街99號,無障礙坡道x1,無
凌雲超市,臺北市南港區研究院路3段68巷9號,無障礙坡道x1,無
華榮超市,臺北市士林區華聲街17號,無障礙坡道x1、無障礙廁所x1,無
湖興超市,臺北市內湖區成功路2段320巷19號,無障礙坡道x1,無
東湖超市,臺北市內湖區東湖路1號,無障礙坡道x1,無
康樂超市,臺北市內湖區康樂街150號,無障礙坡道x1,無
文化超市,臺北市士林區格致路7號,無障礙坡道x1,無
後港超市,臺北市士林區華齡街175號,無障礙坡道x1、無障礙廁所x1,無
天母超市,臺北市士林區中山北路7段154巷6號,無障礙坡道x1、無障礙廁所x1,無
稻香超市,臺北市北投區稻香路81號,無障礙坡道x1、無障礙廁所x1,無
吉利超市,臺北市北投區吉利街125號,無障礙坡道x1、無障礙廁所x1,無
清江超市,臺北市北投區公館路198號,無障礙坡道x1,無
台北地下街,臺北市中正區市民大道1段100號B1,"無障礙坡道x3、無障礙廁所x18、
無障礙電梯x3、無障礙停車位x9",無
站前地下街,臺北市中正區忠孝西路1段50-1號B1,"無障礙坡道x1、無障礙廁所x4、
無障礙電梯x3",無
龍山寺地下街,臺北市萬華區西園路1段145號B1、B2,無障礙廁所x4、無障礙電梯x4,無
鵬程護理之家,臺北市松山區健康路399號2樓,無障礙廁所X6、無障礙電梯X1,無
安東幼兒園,臺北市大安區瑞安街75號2樓,無障礙廁所X1、無障礙電梯X1,無
陽明常春護理之家,臺北市士林區格致路7號2樓,無障礙廁所X2、無障礙電梯X1,無
第一果菜批發市場,臺北市萬華區興德里萬大路533號,"無障礙廁所X6、無障礙坡道X2、 
無障礙停車位X50",無
第二果菜批發市場,臺北市中山區行孝里民族東路336號,"無障礙廁所X11、無障礙電梯X6、
無障礙坡道X4、無障礙停車位X23",無
臺北魚市場,臺北市萬華區興德里萬大路529、531號,無障礙廁所X1 ,無
民族魚市場,臺北市中山區行孝里民族東路410巷2弄18-20號,"無障礙廁所X2、無障礙電梯X2、
無障礙坡道X2、無障礙停車位X3",無
臺北市家禽批發市場,臺北市萬華區華江里環河南路2段338號,"無障礙廁所X2、無障礙電梯X2、
無障礙停車位X4",無
臺北花卉批發市場,臺北市內湖區湖元里新湖三路28、36號,"無障礙廁所X4、無障礙電梯X3、
無障礙停車位X12",無
臺北花木批發市場,臺北市文山區萬盛里興隆路1段15號,"無障礙廁所X2、無障礙電梯X2、
無障礙坡道X1、無障礙停車位X2",無
士林市場,臺北市士林區基河路101號,"無障礙廁所X4、無障礙電梯X1、
無障礙坡道X2、",無
士東市場,臺北市士林區士東路100號,無障礙廁所X2、無障礙坡道X2,無
雙連市場,臺北市大同區民生西路198號,無障礙廁所X1,無
永樂市場,臺北市大同區迪化街一段21號,無障礙廁所X8、無障礙坡道X2,無
蘭州市場,臺北市大同區昌吉街55號(55至57號),無障礙廁所X1,無
安東市場,臺北市大安區瑞安街75號,無障礙廁所X1,無
信義市場,臺北市大安區信義路三段107號,無障礙廁所X1,無
成功市場,臺北市大安區四維路192巷,無障礙廁所X3,無
錦安市場,臺北市大安區永康街60號,無障礙坡道X1,無
八德市場,臺北市中山區八德路二段108之1號,無障礙廁所X1,無
松江市場,臺北市中山區錦州街222號,無障礙廁所X1、無障礙坡道X1,無
中山市場,臺北市中山區長安西路3號,無障礙廁所X1、無障礙坡道X1,無
建國市場,臺北市中山區伊通街94巷4號,無障礙廁所X1,無
華山市場,臺北市中正區忠孝東路一段108號,"無障礙廁所X2、無障礙電梯X1、
無障礙坡道X1",無
水源市場,臺北市中正區羅斯福路四段92號,"無障礙廁所X1、無障礙電梯X1、
無障礙坡道X1",無
幸安市場,臺北市中正區濟南路二段46號,無障礙廁所X1,無
南門市場,臺北市中正區羅斯福路一段8號,無障礙廁所X1、無障礙坡道X1,無
東門市場,臺北市中正區信義路二段81號,無障礙廁所X1,無
西湖市場,臺北市內湖區內湖路一段285號,"無障礙廁所X4、無障礙電梯X1、
無障礙坡道X1",無
興隆市場,臺北市文山區興隆路二段97號,無障礙廁所X1、無障礙坡道X1,無
木新市場,臺北市文山區木新路三段310巷4號,無障礙廁所X1、無障礙坡道X2,無
木柵市場,臺北市文山區保儀路13巷3號,無障礙廁所X1、無障礙坡道X2,無
北投市場,臺北市北投區新市街30號,"無障礙廁所X1、無障礙電梯X2、
無障礙坡道X1",無
南松市場,臺北市松山區塔悠路40號,無障礙廁所X1,無
龍城市場,臺北市松山區光復北路190巷39號,無障礙廁所X1、無障礙坡道X2,無
永春市場,臺北市信義區松山路294號,無障礙坡道X4,無
永吉市場,臺北市信義區永吉路278巷1弄30號,無障礙坡道X5,無
光復市場,臺北市信義區仁愛路四段496巷19號,無障礙廁所X1、無障礙坡道X5,無
成德市場,臺北市南港區同德路100號1樓,無障礙廁所X1、無障礙坡道X1,無
中研市場,臺北市南港區研究院路二段70巷12號,無障礙廁所X2、無障礙坡道X1,無
西寧市場,臺北市萬華區西寧南路4號,無障礙廁所X2,無
環南市場,臺北市萬華區環河南路二段245號,無障礙廁所X1、無障礙電梯X1,無
直興市場,臺北市萬華區康定路172巷1號,無障礙廁所X1,無
光華數位新天地,臺北市中正區市民大道三段8號,無障礙廁所X6,無
河濱一商場,臺北市萬華區環河南路一段4號(2至272號),無障礙廁所X2,無
龍山商場,臺北市萬華區和平西路三段120號 ,無障礙廁所X4、無障礙坡道X2,無
西門商場,臺北市萬華區成都路10巷33號,無障礙廁所X2,無
