國家風景區旅遊路線名稱,行程介紹,路線內容,無障礙設施據點,無障礙設備借用,無障礙廁所,無障礙停車格
大鵬灣旅遊線一日遊(路線一),為呼應大鵬灣獨特潟湖地形，大鵬灣多功能服務區建於小潟湖上，設有輪椅專用坡道，讓您能近距離觀察招潮蟹與紅樹林。服務區對面的遊客中心也提供輪椅、手杖免費租借服務，只要備妥身分證件，即可至服務台登記使用。逛累了，可靜坐在「航海咖啡吧」，悠閒的喝杯咖啡，感受海水潮汐變化升降！行動不便的朋友，可優先進出各設施出入口，如需任何協助，現場工作人員都很樂意為您服務！,大鵬灣遊客中心-落日灣-琦峰濕地-青洲濱海遊憩區-鵬灣跨海大橋,大鵬灣遊客中心,輪椅3張（免費借用、09:00-18:00、供輪椅充電）／手杖1枝（免費借用、09:00-18:00）,2,汽車位2個 、機車位2個
大鵬灣旅遊線一日遊(路線二),為呼應大鵬灣獨特潟湖地形，大鵬灣多功能服務區建於小潟湖上，設有輪椅專用坡道，讓您能近距離觀察招潮蟹與紅樹林。服務區對面的遊客中心也提供輪椅、手杖免費租借服務，只要備妥身分證件，即可至服務台登記使用。逛累了，可靜坐在「航海咖啡吧」，悠閒的喝杯咖啡，感受海水潮汐變化升降！行動不便的朋友，可優先進出各設施出入口，如需任何協助，現場工作人員都很樂意為您服務！,大鵬灣遊客中心大鵬灣國際休閒特區卡丁車賽車場-琦峰濕地-濱灣公園-鵬灣跨海大橋,大鵬灣遊客中心,輪椅3張（免費借用、09:00-18:00、供輪椅充電）／手杖1枝（免費借用、09:00-18:00）,2,汽車位2個 、機車位2個
參山-八卦山一日遊,八卦山脈生態遊客中心：八卦山脈生態遊客心位於八卦山風景區北邊，鄰近八卦山大佛，是全國第1座椅灰面鵟鷹為展示主題的遊客中心，並同時展列八卦山風景區現況。,八卦山脈生態遊客中心-就是愛荔枝樂園-清水岩遊憩區(清水岩寺+清水岩生態展示中心)-松柏嶺遊客中心,八卦山脈生態遊客中心,輪椅：1、手杖：1、助行器：1 (免費借用),1,汽車位1個 
參山-獅山一日遊,?綠世界生態農場：位於新竹北埔，佔地70多公頃，在開放式生態農場內，遊客置身各生態環境中，可近距離觀察天鵝、蝴蝶、水生植物、雨林生態和難得一見的各式仙人掌，並觀賞金剛鸚鵡和大嘴鳥的俏皮逗趣演出，親子同遊，寓教於樂。(愛心票新臺幣200元，持有身心障礙手冊者，及陪同者1人 (憑證件)),綠世界生態農場-獅山遊客中心-南庄遊客中心-南庄老街,綠世界生態農場,輪椅：6(免費借),1,2
參山-谷關湯饗一日遊,谷關溫泉文化館為全國第一座以溫泉文化為主題的展示館，並於谷關遊客中心提供設有多媒體生動介紹溫泉形成、探勘，還有溫泉文學與藝術、溫泉利用與保健、溫泉生態等展示，是遊客深入認識溫泉的好去處。,谷關遊客中心(溫泉文化館)-谷關溫泉公園,谷關遊客中心（溫泉文化館）,輪椅1部、兒童推車2部、登山杖2枝?,2,1
參山-梨山二日遊,"谷關溫泉文化館暨谷關遊客中心：谷關溫泉文化館介紹世界各地溫泉文化，溫泉分類及泉質的種類、功效，播放影片介紹悠遊谷關。該館為全國第一座以溫泉文化為主題的展示館，現代簡樸的建築內除了提供導覽解說和旅遊諮詢，並設有多媒體生動介紹溫泉銘、探勘，還有溫泉文學、溫泉禮儀與須知、世界溫泉等展示，是遊客深入認識溫泉的好去處。谷關遊客中心位於谷關溫泉文化館1樓，提供該風景區旅遊資訊索取、區內景點介紹、簡易醫療服務、交通路況查詢、運輸時間諮詢、旅遊資訊服務及旅客意見反應等。(開放時間：08:30~17:30)
04-25951496*0",第一天：谷關溫泉文化館暨谷關遊客中心-谷關溫泉公園-谷關溫泉,谷關溫泉文化館暨谷關遊客中心,輪椅：1、嬰兒車:1(洽服務台借用，借用時間為8:30~17:30，需押證件)?,2,1
參山-梨山二日遊,八仙山森林遊樂區：八仙山森林遊樂區位於臺中市和平區，主峰海拔2366公尺，約為八千台尺，因而得名「八仙」，區內森林蒼翠，氣候清爽宜人，十文溪與佳保溪匯流其間，溪水源自深山森林，水質清澈，溪中大小岩石遍佈，處處潺流。自然生態資源豐富且本區於日治時期為台灣三大林場之一，擁有濃郁的林業人文風情，是您假日休閒體驗大自然最佳的去處！(開放時間：08:00-17:00)(04-25951214),第二天：八仙山森林遊樂區,八仙山森林遊樂區,輪椅：1 (洽服務台借用，借用時間為8:00~17:00，需押證件)?,3,10
東北角旅遊線一日遊(路線一),福隆車站：2003年改建，是北迴鐵路沿線頗具特色火車站，車站以弧形穿孔鋁板、砂岩、鐵軌枕木等材料呈現福隆在地的金黃沙灘、風帆船、陽光等在地風格。車站設置有無障礙電梯、友善廁所等設施；站前商家林立，遊客可以體驗福隆在地餐飲特色，例如：福隆便當、石花凍等，遊客可經由站前廣場道路過臺二線經榕情大道，通往福隆遊客中心及福隆海水浴場。,福隆車站-福隆遊客中心-福隆地區午餐-福隆海水浴場-龍洞四季灣,福隆車站,無障礙電梯,1,0
東北角旅遊線一日遊(路線二),福隆車站：2003年改建，是北迴鐵路沿線頗具特色火車站，車站以弧形穿孔鋁板、砂岩、鐵軌枕木等材料呈現福隆在地的金黃沙灘、風帆船、陽光等在地風格。車站設置有無障礙電梯、友善廁所等設施；站前商家林立，遊客可以體驗福隆在地餐飲特色，例如：福隆便當、石花凍等，遊客可經由站前廣場道路過臺二線經榕情大道，通往福隆遊客中心及福隆海水浴場。,福隆車站-舊草嶺自行車隧道-福隆地區午餐-福隆遊客中心,福隆車站,無障礙電梯,1,0
東北角旅遊線一日遊(路線三),福隆車站：2003年改建，是北迴鐵路沿線頗具特色火車站，車站以弧形穿孔鋁板、砂岩、鐵軌枕木等材料呈現福隆在地的金黃沙灘、風帆船、陽光等在地風格。車站設置有無障礙電梯、友善廁所等設施；站前商家林立，遊客可以體驗福隆在地餐飲特色，例如：福隆便當、石花凍等，遊客可經由站前廣場道路過臺二線經榕情大道，通往福隆遊客中心及福隆海水浴場。,福隆車站-福隆遊客中心-福隆地區午餐-舊草嶺自行車隧道環狀線,福隆車站,無障礙電梯,1,0
東部海岸旅遊線一日遊,小野柳遊憩區：位於富岡碼頭北方的海域，附近海岸是由厚層砂岩與薄層泥岩交互沈積，因為地質構造的變動，與海浪長年累月的侵蝕沖刷，呈現包括單斜脊、蜂窩岩、龜陣岩、豆腐岩、蕈狀岩等各種景象綺麗的奇岩怪石。 遊憩區內主要設施包含遊客中心、賣店、露營區、海邊步道等，提供多元遊憩服務。,小野柳遊憩區-加路蘭遊憩區-阿美族民俗中心-都歷遊客中心-三仙台遊憩區或成功小鎮漫遊,小野柳遊憩區,提供輪椅及老花眼鏡借用、電動輪椅免費充電服務,4,5
日月潭旅遊線二日遊,"水社遊客中心：符合無障礙規範，一樓為先民文化廣場，及捷安特腳踏車租賃服務，二樓為遊客中心，提供旅遊相關資訊服務，臨中山路之候車亭，提供水、陸交通運輸聯合服務。
",第一天：水社遊客中心-水社商圈-向山遊客中心-日月潭水上步道暨自行車道,水社遊客中心,輪椅2部（申請人填寫姓名、電話等資料，並提供扺押證件一張，即可免費借用，於當日服務時間內歸還）?,2,1
