米蘭意廚,,米蘭意廚是一家以義大利麵、燉飯為主的餐廳。門為推拉式玻璃門，輪椅需協助，通道方便輪椅通行，餐桌容膝空間足夠，店內廁所需走階梯，輪椅若需使用無障礙廁所可就近捷運南京復興站。推薦餐點是美味且蟹肉多的塔藍托蟹肉義大利麵，餐點有附甜點和飲料，店內自助吧供濃湯、麵包、沙拉吧，也有商業午餐可選擇。,02-23219301,台北市中山區龍江路23號,25.0478861,121.540493,塔藍托蟹肉義大利麵::NT$295,台北市,中山區,週一$$週日::11:30$$22:00<>午休::15:00$$17:00,NT$191$$NT$418(需加10%服務費),店內沒有廁所,只有一般停車位,,,"異國料理,健康素食","輪椅嬰兒車,聽力不太好",,
Bigtom 美國冰淇淋文化館,翠湖店,這是一家冰淇淋專賣店。店外設有無障礙斜坡道，出入口平坦，走道可讓一台輪椅通行，活動式桌椅可讓輪椅使用者方便享用餐點，店內只有一般廁所但國父紀念館內設有無障礙廁所。店內滿著冰淇淋的擺飾，服務生服飾和座墊都是乳牛花紋，還可清楚看到101大樓。店內招牌是鐵板冰淇淋，鐵板上巧克力蛋糕與冰淇淋的冷熱交會，再淋上紅酒，是視覺、嗅覺和味覺的享受。,02-23454213,台北市光復南路306號對面(國父紀念館-光復南路出口,25.0388206,121.557327,鐵板紅酒冰淇淋::NT$250<>野苺派對::NT$280,台北市,信義區,週一$$週日::09:30$$22:00,NT$75$$NT$390,店內只有一般廁所,附近設有無障礙停車位,,,甜點輕食,"輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好",,
鶴日式平價定食,,這是一家日式料理店，餐點除了定食套餐還有丼飯、壽司、小火鍋與各種冷盤。感應式自動玻璃門方便輪椅使用者進出。走道寬敞有足夠的迴轉空間。餐桌容膝空間足夠。店內只有一般廁所，可至附近使用無障礙廁所。餐點選擇非常多樣化，價格親民還可免費續白飯和湯。,02-27606198,台北市信義區忠孝東路五段47號,25.041432,121.566334,照燒雞腿定食::NT$:200,台北市,信義區,平日::10:30$$19:00<>週末::10:30$$19:00<>午休::14:30$$17:00,NT$100$$NT$400,,,,,異國料理,"輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好",,
瓦城泰國料理,阪急店,這是一家泰式餐廳。開放式空間方便輪椅使用者進出。走道能讓一台輪椅通行。餐桌容膝空間足夠方便輪椅使用者用餐。阪急百貨內設有無障礙廁所。適合多人共同點餐分食，品嚐不同菜色。,02-27586600,台北市信義區忠孝東路五段8號7樓,25.0408461,121.5653964,椒麻雞::NT$300<>檸檬清蒸魚::NT$480,台北市,信義區,週日$$週四::11:00$$21:30<>週五$$週六::11:00$$22:00,NT$200$$NT$500,,,,,異國料理,"輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好,無障礙廁所,障礙好停車",,
兔子兔子美式餐廳,2店,這是一間以早午餐、義大利麵、漢堡為主的美式餐廳。臨近捷運忠孝敦化站。推拉式木製門，輪椅使用者需人協助。店內只有一般廁所，可至捷運站使用無障礙廁所。目前在台北擁有2家分店，店家提供wifi上網。手工漢堡肉排都是當日現做，餐點項目非常多，另有蛋奶素的選擇。,02-27783445,台北市大安區忠孝東路四段216巷11弄8號,25.040753,121.5533011,薯泥培根芝心蛋捲::NT$270,台北市,大安區,週一$$週四::11:30$$22:00<>週五::11:30$$22:30<>週六::10:00$$22:30<>週日::10:00$$22:00,NT$110$$NT$270<>(須另加10%服務費),,,,,西式餐廳,"輪椅嬰兒車,孕婦拐杖族,眼睛不方便,免費Wifi",,
筷子餐廳,公館店,這是一間江浙料理餐廳。位於台大學生活動中心一樓，由捷運公館站電梯2號出口步行三分鐘。店旁的活動中心有無障礙廁所可使用。餐點有素食可供選擇。餐廳還貼心的準備老花眼鏡。,02-33653168,台北市大安區羅斯福路四段85號1F(集思台大會議中心),25.0128042,121.5364339,筷子脆皮雞::NT$260<>涼拌白菜心::NT$190,台北市,大安區,平日::11:30$$22:00<>週末::11:30$$22:00<>午休::15:00$$17:30,NT$200$$NT$500,,,,,中式餐廳,"輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好",,
跳舞咖啡廳,,這是一間以輕食和下午茶為主的複合式咖啡廳。臨近捷運中山站，隔壁是蔡瑞月舞蹈教室。推拉式玻璃門，輪椅使用者需有人協助。店內只有一般廁所，可至附近捷運站使用無障礙廁所。適合下午茶或者晚上愜意地坐在靠窗的位置喝咖啡吃甜點，享受悠閒寧靜的時光。,02-25233645,台北市中山區中山北路二段46巷,25.0554621,121.5216842,義大利冷麵::NT$170,台北市,中山區,週一$$週日::10:00$$22:00,NT$100$$NT$300,,,,,"西式餐廳,複合餐廳,甜點輕食","輪椅嬰兒車,孕婦拐杖族,眼睛不方便",,
Mr.Brown cafe 伯朗咖啡,承德店,這是一家以義大利麵、焗烤、蛋糕、咖啡為主的複合式餐廳。門為感應式自動門，通道方便輪椅通行，容膝空間方便輪椅用餐，輪椅若需使用無障礙廁所可就近至捷運圓山站。內部寬敞舒適，除了咖啡和甜點的需求，還提供了早餐、午晚餐的套餐，不管商旅、午茶時刻都可滿足需求。,02-25995369,台北市大同區承德路三段131號,25.0673499,121.518681,蔥香去骨雞腿飯::NT$248,台北市,大同區,週一$$週日::07:30$$22:00,NT$200$$NT$300,,,,,"西式餐廳,異國料理,複合餐廳,甜點輕食,健康素食","輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好,免費Wifi,友善充電座",,
Afternoon Tea,遠百板橋門市,Afternoon Tea是一間結合生活雜貨小物和餐飲的複合式餐廳。餐點有義大利麵、燉飯、甜點和飲品等。開放式空間方便進出。商場同樓層即有身障廁所可使用。地下停車場設有無障礙停車位。走道能讓一台輪椅使用者通行。主要以女性族群為消費對象，透過視覺、味覺、嗅覺、聽覺與觸覺等五感，在生活中持續地豐富心靈及提供精神上的奢華享受。餐點嚴選天然食材，並依季節變更不時更新菜單，讓顧客們感受日式歐風的優質新體驗。,02-29513089,新北市板橋區新站路28號3樓,25.013513,121.466497,雞肉菠菜蕃茄奶油義大利麵。::NT$ 290<>西班牙蕃紅花海鮮燉飯。::NT$ 320<>草莓紐約起司蛋糕。::NT$ 170,新北市,板橋區,平日::11:00$$22:00<>週末::11:00$$22:00,NT$ 540<>(需加收10%服務費),,,,,"異國料理,複合餐廳,甜點輕食,健康素食","輪椅嬰兒車,孕婦拐杖族,眼睛不方便,聽力不太好,障礙好停車,免費Wifi,友善充電座",,
薄多義BITE2EAT,南西店,主打手工窯烤披薩的店，仍保留百年製作披薩的作方式。另有義大利麵及各式飲料，室內空間裝潢設計具有特色，全用木頭來裝潢，頗具自然風格與現代化設計感。店外有無障礙車位，店內還提供免費Wifi，店內只有一般廁所，如有需要也可以到附近中山捷運站使用無障礙廁所。非常推薦大家去，建議先訂位！,02-25111122,台北市中山區中山北路二段36巷18號,25.0542808,121.5215071,蜜蘋Pizza::NT$179<>瑪格麗特Pizza::NT$159,台北市,中山區,週一$$週日::11:30$$21:00,NT$35$$NT$230<>(需加10%服務費),,,,,"西式餐廳,異國料理,複合餐廳","輪椅嬰兒車,孕婦拐杖族,眼睛不方便,障礙好停車,免費Wifi",,
